ID;Atividade;Situacao;Inicio;Fim;Duracao;Recurso
6;Task #6;finished;2012-06-03T14:04:00+00:00;2012-06-03T14:53:00+00:00;2940;Mary
7;Task #7;pending;2012-06-03T14:04:00+00:00;2012-06-04T13:53:00+00:00;85740;Luke
7;Task #7;documentation;2012-06-04T13:53:00+00:00;2012-06-04T22:40:00+00:00;31620;Marie
7;Task #7;development;2012-06-04T22:40:00+00:00;2012-06-06T13:42:00+00:00;140520;Luke
7;Task #7;test;2012-06-06T13:42:00+00:00;2012-06-07T23:01:00+00:00;119940;Jonh
7;Task #7;finished;2012-06-07T23:01:00+00:00;2012-06-07T23:53:00+00:00;3120;Ashley
8;Task #8;pending;2012-06-07T23:01:00+00:00;2012-06-09T01:47:00+00:00;96360;Marie
8;Task #8;documentation;2012-06-09T01:47:00+00:00;2012-06-09T11:13:00+00:00;33960;Bob
8;Task #8;development;2012-06-09T11:13:00+00:00;2012-06-11T00:28:00+00:00;134100;Luke
8;Task #8;test;2012-06-11T00:28:00+00:00;2012-06-12T22:32:00+00:00;165840;Ashley
8;Task #8;finished;2012-06-12T22:32:00+00:00;2012-06-12T23:27:00+00:00;3300;Marie
9;Task #9;pending;2012-06-12T22:32:00+00:00;2012-06-14T02:43:00+00:00;101460;Joana
9;Task #9;documentation;2012-06-14T02:43:00+00:00;2012-06-14T12:07:00+00:00;33840;Mary
9;Task #9;development;2012-06-14T12:07:00+00:00;2012-06-16T02:20:00+00:00;137580;Luke
9;Task #9;test;2012-06-16T02:20:00+00:00;2012-06-17T18:31:00+00:00;144660;Mary
9;Task #9;finished;2012-06-17T18:31:00+00:00;2012-06-17T19:23:00+00:00;3120;Luke
10;Task #10;pending;2012-06-12T23:27:00+00:00;2012-06-13T20:52:00+00:00;77100;Bob
10;Task #10;documentation;2012-06-13T20:52:00+00:00;2012-06-14T05:23:00+00:00;30660;Rob
10;Task #10;development;2012-06-14T05:23:00+00:00;2012-06-15T15:23:00+00:00;122400;Mary
10;Task #10;test;2012-06-15T15:23:00+00:00;2012-06-17T07:39:00+00:00;144960;Bob
10;Task #10;finished;2012-06-17T07:39:00+00:00;2012-06-17T08:45:00+00:00;3960;Joana
11;Task #11;pending;2012-06-17T07:39:00+00:00;2012-06-18T03:03:00+00:00;69840;Rob
11;Task #11;documentation;2012-06-18T03:03:00+00:00;2012-06-18T10:54:00+00:00;28260;Jonh
11;Task #11;development;2012-06-18T10:54:00+00:00;2012-06-20T09:57:00+00:00;169380;Marie
11;Task #11;test;2012-06-20T09:57:00+00:00;2012-06-22T04:25:00+00:00;152880;Jonh
11;Task #11;finished;2012-06-22T04:25:00+00:00;2012-06-22T05:24:00+00:00;3540;Luke
12;Task #12;pending;2012-06-22T04:25:00+00:00;2012-06-23T03:34:00+00:00;83340;Joana
12;Task #12;documentation;2012-06-23T03:34:00+00:00;2012-06-23T13:08:00+00:00;34440;Ashley
12;Task #12;development;2012-06-23T13:08:00+00:00;2012-06-25T01:06:00+00:00;129480;Bob
12;Task #12;test;2012-06-25T01:06:00+00:00;2012-06-27T00:09:00+00:00;169380;Ashley
12;Task #12;finished;2012-06-27T00:09:00+00:00;2012-06-27T01:02:00+00:00;3180;Rob
13;Task #13;pending;2012-06-27T00:09:00+00:00;2012-06-28T03:33:00+00:00;98640;Ashley
13;Task #13;documentation;2012-06-28T03:33:00+00:00;2012-06-28T12:27:00+00:00;32040;Ashley
13;Task #13;development;2012-06-28T12:27:00+00:00;2012-06-29T20:34:00+00:00;115620;Bob
13;Task #13;test;2012-06-29T20:34:00+00:00;2012-07-01T11:25:00+00:00;139860;Marie
13;Task #13;finished;2012-07-01T11:25:00+00:00;2012-07-01T12:18:00+00:00;3180;Luke
14;Task #14;pending;2012-07-01T11:25:00+00:00;2012-07-02T15:22:00+00:00;100620;Luke
14;Task #14;documentation;2012-07-02T15:22:00+00:00;2012-07-03T00:56:00+00:00;34440;Jonh
14;Task #14;development;2012-07-03T00:56:00+00:00;2012-07-04T15:32:00+00:00;138960;Bob
14;Task #14;test;2012-07-04T15:32:00+00:00;2012-07-06T08:34:00+00:00;147720;Mary
14;Task #14;finished;2012-07-06T08:34:00+00:00;2012-07-06T09:25:00+00:00;3060;Jonh
15;Task #15;pending;2012-07-06T08:34:00+00:00;2012-07-07T04:58:00+00:00;73440;Luke
15;Task #15;documentation;2012-07-07T04:58:00+00:00;2012-07-07T12:41:00+00:00;27780;Bob
15;Task #15;development;2012-07-07T12:41:00+00:00;2012-07-09T05:33:00+00:00;147120;Luke
15;Task #15;test;2012-07-09T05:33:00+00:00;2012-07-10T13:39:00+00:00;115560;Jonh
15;Task #15;finished;2012-07-10T13:39:00+00:00;2012-07-10T14:28:00+00:00;2940;Luke
16;Task #16;pending;2012-07-10T13:39:00+00:00;2012-07-11T09:06:00+00:00;70020;Marie
16;Task #16;documentation;2012-07-11T09:06:00+00:00;2012-07-11T17:47:00+00:00;31260;Luke
16;Task #16;development;2012-07-11T17:47:00+00:00;2012-07-13T09:35:00+00:00;143280;Ashley
16;Task #16;test;2012-07-13T09:35:00+00:00;2012-07-15T05:02:00+00:00;156420;Jonh
16;Task #16;finished;2012-07-15T05:02:00+00:00;2012-07-15T06:10:00+00:00;4080;Rob
17;Task #17;pending;2012-07-15T05:02:00+00:00;2012-07-16T07:15:00+00:00;94380;Ashley
17;Task #17;documentation;2012-07-16T07:15:00+00:00;2012-07-16T13:46:00+00:00;23460;Bob
17;Task #17;development;2012-07-16T13:46:00+00:00;2012-07-18T10:48:00+00:00;162120;Mary
17;Task #17;test;2012-07-18T10:48:00+00:00;2012-07-20T00:32:00+00:00;135840;Jonh
17;Task #17;finished;2012-07-20T00:32:00+00:00;2012-07-20T01:35:00+00:00;3780;Rob
18;Task #18;pending;2012-07-15T06:10:00+00:00;2012-07-16T03:08:00+00:00;75480;Rob
18;Task #18;documentation;2012-07-16T03:08:00+00:00;2012-07-16T09:32:00+00:00;23040;Jonh
18;Task #18;development;2012-07-16T09:32:00+00:00;2012-07-18T08:37:00+00:00;169500;Joana
18;Task #18;test;2012-07-18T08:37:00+00:00;2012-07-20T06:33:00+00:00;165360;Bob
18;Task #18;finished;2012-07-20T06:33:00+00:00;2012-07-20T07:42:00+00:00;4140;Mary
19;Task #19;pending;2012-07-20T06:33:00+00:00;2012-07-21T08:25:00+00:00;93120;Jonh
19;Task #19;documentation;2012-07-21T08:25:00+00:00;2012-07-21T15:12:00+00:00;24420;Mary
19;Task #19;development;2012-07-21T15:12:00+00:00;2012-07-23T00:06:00+00:00;118440;Rob
19;Task #19;test;2012-07-23T00:06:00+00:00;2012-07-24T18:33:00+00:00;152820;Rob
19;Task #19;finished;2012-07-24T18:33:00+00:00;2012-07-24T19:38:00+00:00;3900;Bob
20;Task #20;pending;2012-07-24T18:33:00+00:00;2012-07-25T21:35:00+00:00;97320;Bob
20;Task #20;documentation;2012-07-25T21:35:00+00:00;2012-07-26T04:10:00+00:00;23700;Rob
20;Task #20;development;2012-07-26T04:10:00+00:00;2012-07-27T17:40:00+00:00;135000;Mary
20;Task #20;test;2012-07-27T17:40:00+00:00;2012-07-29T11:13:00+00:00;149580;Luke
20;Task #20;finished;2012-07-29T11:13:00+00:00;2012-07-29T12:04:00+00:00;3060;Marie
21;Task #21;pending;2012-07-29T11:13:00+00:00;2012-07-30T14:50:00+00:00;99420;Mary
21;Task #21;documentation;2012-07-30T14:50:00+00:00;2012-07-30T21:43:00+00:00;24780;Mary
21;Task #21;development;2012-07-30T21:43:00+00:00;2012-08-01T09:52:00+00:00;130140;Mary
21;Task #21;test;2012-08-01T09:52:00+00:00;2012-08-03T06:16:00+00:00;159840;Bob
21;Task #21;finished;2012-08-03T06:16:00+00:00;2012-08-03T07:14:00+00:00;3480;Joana
22;Task #22;pending;2012-08-03T06:16:00+00:00;2012-08-04T02:02:00+00:00;71160;Jonh
22;Task #22;documentation;2012-08-04T02:02:00+00:00;2012-08-04T10:20:00+00:00;29880;Joana
22;Task #22;development;2012-08-04T10:20:00+00:00;2012-08-05T21:09:00+00:00;125340;Joana
22;Task #22;test;2012-08-05T21:09:00+00:00;2012-08-07T09:23:00+00:00;130440;Marie
22;Task #22;finished;2012-08-07T09:23:00+00:00;2012-08-07T10:12:00+00:00;2940;Jonh
23;Task #23;pending;2012-08-07T09:23:00+00:00;2012-08-08T08:11:00+00:00;82080;Mary
23;Task #23;documentation;2012-08-08T08:11:00+00:00;2012-08-08T17:09:00+00:00;32280;Jonh
23;Task #23;development;2012-08-08T17:09:00+00:00;2012-08-10T04:47:00+00:00;128280;Mary
23;Task #23;test;2012-08-10T04:47:00+00:00;2012-08-11T14:16:00+00:00;120540;Rob
23;Task #23;finished;2012-08-11T14:16:00+00:00;2012-08-11T15:25:00+00:00;4140;Rob
24;Task #24;pending;2012-08-11T14:16:00+00:00;2012-08-12T18:28:00+00:00;101520;Jonh
24;Task #24;documentation;2012-08-12T18:28:00+00:00;2012-08-13T03:19:00+00:00;31860;Jonh
24;Task #24;development;2012-08-13T03:19:00+00:00;2012-08-14T20:43:00+00:00;149040;Mary
24;Task #24;test;2012-08-14T20:43:00+00:00;2012-08-16T10:52:00+00:00;137340;Ashley
24;Task #24;finished;2012-08-16T10:52:00+00:00;2012-08-16T11:57:00+00:00;3900;Marie
25;Task #25;pending;2012-08-16T10:52:00+00:00;2012-08-17T06:06:00+00:00;69240;Joana
25;Task #25;documentation;2012-08-17T06:06:00+00:00;2012-08-17T13:27:00+00:00;26460;Luke
25;Task #25;development;2012-08-17T13:27:00+00:00;2012-08-19T09:18:00+00:00;157860;Luke
25;Task #25;test;2012-08-19T09:18:00+00:00;2012-08-20T19:07:00+00:00;121740;Jonh
25;Task #25;finished;2012-08-20T19:07:00+00:00;2012-08-20T19:58:00+00:00;3060;Ashley
26;Task #26;pending;2012-08-16T11:57:00+00:00;2012-08-17T09:23:00+00:00;77160;Ashley
26;Task #26;documentation;2012-08-17T09:23:00+00:00;2012-08-17T16:17:00+00:00;24840;Rob
26;Task #26;development;2012-08-17T16:17:00+00:00;2012-08-19T06:59:00+00:00;139320;Joana
26;Task #26;test;2012-08-19T06:59:00+00:00;2012-08-20T17:49:00+00:00;125400;Ashley
26;Task #26;finished;2012-08-20T17:49:00+00:00;2012-08-20T18:38:00+00:00;2940;Mary
27;Task #27;pending;2012-08-20T17:49:00+00:00;2012-08-21T19:04:00+00:00;90900;Bob
27;Task #27;documentation;2012-08-21T19:04:00+00:00;2012-08-22T01:36:00+00:00;23520;Marie
27;Task #27;development;2012-08-22T01:36:00+00:00;2012-08-23T14:52:00+00:00;134160;Ashley
27;Task #27;test;2012-08-23T14:52:00+00:00;2012-08-25T04:32:00+00:00;135600;Jonh
27;Task #27;finished;2012-08-25T04:32:00+00:00;2012-08-25T05:28:00+00:00;3360;Mary
28;Task #28;pending;2012-08-25T04:32:00+00:00;2012-08-26T02:56:00+00:00;80640;Joana
28;Task #28;documentation;2012-08-26T02:56:00+00:00;2012-08-26T11:11:00+00:00;29700;Joana
28;Task #28;development;2012-08-26T11:11:00+00:00;2012-08-28T09:41:00+00:00;167400;Jonh
28;Task #28;test;2012-08-28T09:41:00+00:00;2012-08-30T04:41:00+00:00;154800;Bob
28;Task #28;finished;2012-08-30T04:41:00+00:00;2012-08-30T05:36:00+00:00;3300;Bob
29;Task #29;pending;2012-08-30T04:41:00+00:00;2012-08-31T08:52:00+00:00;101460;Jonh
29;Task #29;documentation;2012-08-31T08:52:00+00:00;2012-08-31T16:47:00+00:00;28500;Rob
29;Task #29;development;2012-08-31T16:47:00+00:00;2012-09-02T04:17:00+00:00;127800;Ashley
29;Task #29;test;2012-09-02T04:17:00+00:00;2012-09-03T19:59:00+00:00;142920;Marie
29;Task #29;finished;2012-09-03T19:59:00+00:00;2012-09-03T21:04:00+00:00;3900;Joana
30;Task #30;pending;2012-09-03T19:59:00+00:00;2012-09-04T16:45:00+00:00;74760;Jonh
30;Task #30;documentation;2012-09-04T16:45:00+00:00;2012-09-04T23:59:00+00:00;26040;Joana
30;Task #30;development;2012-09-04T23:59:00+00:00;2012-09-06T22:41:00+00:00;168120;Marie
30;Task #30;test;2012-09-06T22:41:00+00:00;2012-09-08T17:48:00+00:00;155220;Mary
30;Task #30;finished;2012-09-08T17:48:00+00:00;2012-09-08T18:38:00+00:00;3000;Bob
31;Task #31;pending;2012-09-08T17:48:00+00:00;2012-09-09T22:05:00+00:00;101820;Mary
31;Task #31;documentation;2012-09-09T22:05:00+00:00;2012-09-10T07:11:00+00:00;32760;Marie
31;Task #31;development;2012-09-10T07:11:00+00:00;2012-09-12T03:05:00+00:00;158040;Bob
31;Task #31;test;2012-09-12T03:05:00+00:00;2012-09-13T20:03:00+00:00;147480;Bob
31;Task #31;finished;2012-09-13T20:03:00+00:00;2012-09-13T20:54:00+00:00;3060;Ashley
32;Task #32;pending;2012-09-13T20:03:00+00:00;2012-09-14T18:13:00+00:00;79800;Bob
32;Task #32;documentation;2012-09-14T18:13:00+00:00;2012-09-15T02:41:00+00:00;30480;Ashley
32;Task #32;development;2012-09-15T02:41:00+00:00;2012-09-16T21:37:00+00:00;154560;Luke
32;Task #32;test;2012-09-16T21:37:00+00:00;2012-09-18T15:38:00+00:00;151260;Luke
32;Task #32;finished;2012-09-18T15:38:00+00:00;2012-09-18T16:26:00+00:00;2880;Ashley
33;Task #33;pending;2012-09-18T15:38:00+00:00;2012-09-19T15:07:00+00:00;84540;Luke
33;Task #33;documentation;2012-09-19T15:07:00+00:00;2012-09-19T21:59:00+00:00;24720;Ashley
33;Task #33;development;2012-09-19T21:59:00+00:00;2012-09-21T06:53:00+00:00;118440;Ashley
33;Task #33;test;2012-09-21T06:53:00+00:00;2012-09-23T06:34:00+00:00;171660;Mary
33;Task #33;finished;2012-09-23T06:34:00+00:00;2012-09-23T07:25:00+00:00;3060;Jonh
34;Task #34;pending;2012-09-18T16:26:00+00:00;2012-09-19T20:45:00+00:00;101940;Luke
34;Task #34;documentation;2012-09-19T20:45:00+00:00;2012-09-20T03:48:00+00:00;25380;Marie
34;Task #34;development;2012-09-20T03:48:00+00:00;2012-09-21T22:39:00+00:00;154260;Jonh
34;Task #34;test;2012-09-21T22:39:00+00:00;2012-09-23T10:44:00+00:00;129900;Mary
34;Task #34;finished;2012-09-23T10:44:00+00:00;2012-09-23T11:36:00+00:00;3120;Ashley
35;Task #35;pending;2012-09-23T10:44:00+00:00;2012-09-24T07:41:00+00:00;75420;Mary
35;Task #35;documentation;2012-09-24T07:41:00+00:00;2012-09-24T15:39:00+00:00;28680;Rob
35;Task #35;development;2012-09-24T15:39:00+00:00;2012-09-26T00:47:00+00:00;119280;Bob
35;Task #35;test;2012-09-26T00:47:00+00:00;2012-09-27T20:33:00+00:00;157560;Joana
35;Task #35;finished;2012-09-27T20:33:00+00:00;2012-09-27T21:27:00+00:00;3240;Joana
36;Task #36;pending;2012-09-27T20:33:00+00:00;2012-09-28T22:47:00+00:00;94440;Ashley
36;Task #36;documentation;2012-09-28T22:47:00+00:00;2012-09-29T06:21:00+00:00;27240;Rob
36;Task #36;development;2012-09-29T06:21:00+00:00;2012-10-01T05:24:00+00:00;169380;Joana
36;Task #36;test;2012-10-01T05:24:00+00:00;2012-10-02T14:09:00+00:00;117900;Mary
36;Task #36;finished;2012-10-02T14:09:00+00:00;2012-10-02T15:07:00+00:00;3480;Rob
37;Task #37;pending;2012-10-02T14:09:00+00:00;2012-10-03T17:16:00+00:00;97620;Luke
37;Task #37;documentation;2012-10-03T17:16:00+00:00;2012-10-04T02:43:00+00:00;34020;Rob
37;Task #37;development;2012-10-04T02:43:00+00:00;2012-10-06T00:02:00+00:00;163140;Ashley
37;Task #37;test;2012-10-06T00:02:00+00:00;2012-10-07T11:29:00+00:00;127620;Joana
37;Task #37;finished;2012-10-07T11:29:00+00:00;2012-10-07T12:39:00+00:00;4200;Joana
38;Task #38;pending;2012-10-07T11:29:00+00:00;2012-10-08T15:55:00+00:00;102360;Joana
38;Task #38;documentation;2012-10-08T15:55:00+00:00;2012-10-08T23:10:00+00:00;26100;Joana
38;Task #38;development;2012-10-08T23:10:00+00:00;2012-10-10T18:31:00+00:00;156060;Bob
38;Task #38;test;2012-10-10T18:31:00+00:00;2012-10-12T16:13:00+00:00;164520;Bob
38;Task #38;finished;2012-10-12T16:13:00+00:00;2012-10-12T17:06:00+00:00;3180;Bob
39;Task #39;pending;2012-10-12T16:13:00+00:00;2012-10-13T15:28:00+00:00;83700;Jonh
39;Task #39;documentation;2012-10-13T15:28:00+00:00;2012-10-14T00:16:00+00:00;31680;Joana
39;Task #39;development;2012-10-14T00:16:00+00:00;2012-10-15T21:13:00+00:00;161820;Bob
39;Task #39;test;2012-10-15T21:13:00+00:00;2012-10-17T07:54:00+00:00;124860;Marie
39;Task #39;finished;2012-10-17T07:54:00+00:00;2012-10-17T09:03:00+00:00;4140;Mary
40;Task #40;pending;2012-10-17T07:54:00+00:00;2012-10-18T06:29:00+00:00;81300;Luke
40;Task #40;documentation;2012-10-18T06:29:00+00:00;2012-10-18T14:16:00+00:00;28020;Jonh
40;Task #40;development;2012-10-18T14:16:00+00:00;2012-10-20T09:36:00+00:00;156000;Marie
40;Task #40;test;2012-10-20T09:36:00+00:00;2012-10-21T21:11:00+00:00;128100;Ashley
40;Task #40;finished;2012-10-21T21:11:00+00:00;2012-10-21T22:10:00+00:00;3540;Joana
41;Task #41;pending;2012-10-21T21:11:00+00:00;2012-10-22T19:04:00+00:00;78780;Ashley
41;Task #41;documentation;2012-10-22T19:04:00+00:00;2012-10-23T02:50:00+00:00;27960;Mary
41;Task #41;development;2012-10-23T02:50:00+00:00;2012-10-24T21:43:00+00:00;154380;Mary
41;Task #41;test;2012-10-24T21:43:00+00:00;2012-10-26T17:29:00+00:00;157560;Rob
41;Task #41;finished;2012-10-26T17:29:00+00:00;2012-10-26T18:22:00+00:00;3180;Ashley
42;Task #42;pending;2012-10-21T22:10:00+00:00;2012-10-23T02:50:00+00:00;103200;Jonh
42;Task #42;documentation;2012-10-23T02:50:00+00:00;2012-10-23T09:39:00+00:00;24540;Jonh
42;Task #42;development;2012-10-23T09:39:00+00:00;2012-10-25T02:06:00+00:00;145620;Joana
42;Task #42;test;2012-10-25T02:06:00+00:00;2012-10-26T11:52:00+00:00;121560;Rob
42;Task #42;finished;2012-10-26T11:52:00+00:00;2012-10-26T12:58:00+00:00;3960;Ashley
43;Task #43;pending;2012-10-26T11:52:00+00:00;2012-10-27T14:01:00+00:00;94140;Mary
43;Task #43;documentation;2012-10-27T14:01:00+00:00;2012-10-27T22:10:00+00:00;29340;Ashley
43;Task #43;development;2012-10-27T22:10:00+00:00;2012-10-29T13:44:00+00:00;142440;Joana
43;Task #43;test;2012-10-29T13:44:00+00:00;2012-10-31T09:32:00+00:00;157680;Marie
43;Task #43;finished;2012-10-31T09:32:00+00:00;2012-10-31T10:26:00+00:00;3240;Ashley
44;Task #44;pending;2012-10-31T09:32:00+00:00;2012-11-01T11:17:00+00:00;92700;Ashley
44;Task #44;documentation;2012-11-01T11:17:00+00:00;2012-11-01T18:18:00+00:00;25260;Ashley
44;Task #44;development;2012-11-01T18:18:00+00:00;2012-11-03T12:45:00+00:00;152820;Luke
44;Task #44;test;2012-11-03T12:45:00+00:00;2012-11-05T04:43:00+00:00;143880;Luke
44;Task #44;finished;2012-11-05T04:43:00+00:00;2012-11-05T05:48:00+00:00;3900;Marie
45;Task #45;pending;2012-11-05T04:43:00+00:00;2012-11-06T06:59:00+00:00;94560;Bob
45;Task #45;documentation;2012-11-06T06:59:00+00:00;2012-11-06T16:14:00+00:00;33300;Bob
45;Task #45;development;2012-11-06T16:14:00+00:00;2012-11-08T06:04:00+00:00;136200;Ashley
45;Task #45;test;2012-11-08T06:04:00+00:00;2012-11-09T23:05:00+00:00;147660;Mary
45;Task #45;finished;2012-11-09T23:05:00+00:00;2012-11-10T00:02:00+00:00;3420;Jonh
46;Task #46;pending;2012-11-09T23:05:00+00:00;2012-11-11T02:36:00+00:00;99060;Bob
46;Task #46;documentation;2012-11-11T02:36:00+00:00;2012-11-11T11:28:00+00:00;31920;Luke
46;Task #46;development;2012-11-11T11:28:00+00:00;2012-11-13T06:47:00+00:00;155940;Ashley
46;Task #46;test;2012-11-13T06:47:00+00:00;2012-11-14T17:59:00+00:00;126720;Bob
46;Task #46;finished;2012-11-14T17:59:00+00:00;2012-11-14T19:01:00+00:00;3720;Jonh
47;Task #47;pending;2012-11-14T17:59:00+00:00;2012-11-15T19:39:00+00:00;92400;Jonh
47;Task #47;documentation;2012-11-15T19:39:00+00:00;2012-11-16T03:36:00+00:00;28620;Mary
47;Task #47;development;2012-11-16T03:36:00+00:00;2012-11-17T22:02:00+00:00;152760;Jonh
47;Task #47;test;2012-11-17T22:02:00+00:00;2012-11-19T19:28:00+00:00;163560;Ashley
47;Task #47;finished;2012-11-19T19:28:00+00:00;2012-11-19T20:19:00+00:00;3060;Luke
48;Task #48;pending;2012-11-19T19:28:00+00:00;2012-11-20T21:43:00+00:00;94500;Joana
48;Task #48;documentation;2012-11-20T21:43:00+00:00;2012-11-21T06:56:00+00:00;33180;Luke
48;Task #48;development;2012-11-21T06:56:00+00:00;2012-11-22T17:06:00+00:00;123000;Marie
48;Task #48;test;2012-11-22T17:06:00+00:00;2012-11-24T16:38:00+00:00;171120;Joana
48;Task #48;finished;2012-11-24T16:38:00+00:00;2012-11-24T17:38:00+00:00;3600;Luke
49;Task #49;pending;2012-11-24T16:38:00+00:00;2012-11-25T12:59:00+00:00;73260;Luke
49;Task #49;documentation;2012-11-25T12:59:00+00:00;2012-11-25T19:31:00+00:00;23520;Mary
49;Task #49;development;2012-11-25T19:31:00+00:00;2012-11-27T18:03:00+00:00;167520;Ashley
49;Task #49;test;2012-11-27T18:03:00+00:00;2012-11-29T08:49:00+00:00;139560;Bob
49;Task #49;finished;2012-11-29T08:49:00+00:00;2012-11-29T09:38:00+00:00;2940;Joana
50;Task #50;pending;2012-11-24T17:38:00+00:00;2012-11-25T19:44:00+00:00;93960;Luke
50;Task #50;documentation;2012-11-25T19:44:00+00:00;2012-11-26T05:07:00+00:00;33780;Jonh
50;Task #50;development;2012-11-26T05:07:00+00:00;2012-11-27T23:21:00+00:00;152040;Bob
50;Task #50;test;2012-11-27T23:21:00+00:00;2012-11-29T10:14:00+00:00;125580;Jonh
50;Task #50;finished;2012-11-29T10:14:00+00:00;2012-11-29T11:18:00+00:00;3840;Marie
51;Task #51;pending;2012-11-29T10:14:00+00:00;2012-11-30T08:26:00+00:00;79920;Jonh
51;Task #51;documentation;2012-11-30T08:26:00+00:00;2012-11-30T15:16:00+00:00;24600;Ashley
51;Task #51;development;2012-11-30T15:16:00+00:00;2012-12-02T12:06:00+00:00;161400;Bob
51;Task #51;test;2012-12-02T12:06:00+00:00;2012-12-03T22:45:00+00:00;124740;Jonh
51;Task #51;finished;2012-12-03T22:45:00+00:00;2012-12-03T23:42:00+00:00;3420;Luke
52;Task #52;pending;2012-12-03T22:45:00+00:00;2012-12-04T20:05:00+00:00;76800;Joana
52;Task #52;documentation;2012-12-04T20:05:00+00:00;2012-12-05T03:27:00+00:00;26520;Bob
52;Task #52;development;2012-12-05T03:27:00+00:00;2012-12-07T01:45:00+00:00;166680;Mary
52;Task #52;test;2012-12-07T01:45:00+00:00;2012-12-08T14:15:00+00:00;131400;Luke
52;Task #52;finished;2012-12-08T14:15:00+00:00;2012-12-08T15:23:00+00:00;4080;Rob
53;Task #53;pending;2012-12-08T14:15:00+00:00;2012-12-09T10:26:00+00:00;72660;Joana
53;Task #53;documentation;2012-12-09T10:26:00+00:00;2012-12-09T18:41:00+00:00;29700;Bob
53;Task #53;development;2012-12-09T18:41:00+00:00;2012-12-11T07:46:00+00:00;133500;Marie
53;Task #53;test;2012-12-11T07:46:00+00:00;2012-12-12T20:44:00+00:00;133080;Joana
53;Task #53;finished;2012-12-12T20:44:00+00:00;2012-12-12T21:34:00+00:00;3000;Luke
54;Task #54;pending;2012-12-12T20:44:00+00:00;2012-12-13T22:47:00+00:00;93780;Marie
54;Task #54;documentation;2012-12-13T22:47:00+00:00;2012-12-14T08:11:00+00:00;33840;Rob
54;Task #54;development;2012-12-14T08:11:00+00:00;2012-12-16T06:38:00+00:00;167220;Ashley
54;Task #54;test;2012-12-16T06:38:00+00:00;2012-12-18T06:04:00+00:00;170760;Luke
54;Task #54;finished;2012-12-18T06:04:00+00:00;2012-12-18T07:12:00+00:00;4080;Jonh
55;Task #55;pending;2012-12-18T06:04:00+00:00;2012-12-19T05:21:00+00:00;83820;Rob
55;Task #55;documentation;2012-12-19T05:21:00+00:00;2012-12-19T12:58:00+00:00;27420;Mary
